step 72: dis loss 0.351520, dis acc 0.000000, gan loss 0.356463, gan acc 0.000000
step 73: dis loss 0.340290, dis acc 0.000000, gan loss 0.347931, gan acc 0.000000
step 74: dis loss 0.310232, dis acc 0.000000, gan loss 0.313615, gan acc 0.000000
step 75: dis loss 0.319439, dis acc 0.000000, gan loss 0.327447, gan acc 0.000000
step 76: dis loss 0.329067, dis acc 0.000000, gan loss 0.332913, gan acc 0.000000
step 77: dis loss 0.337219, dis acc 0.000000, gan loss 0.339337, gan acc 0.000000
step 78: dis loss 0.333574, dis acc 0.000000, gan loss 0.385917, gan acc 0.000000
step 79: dis loss 0.358034, dis acc 0.000000, gan loss 0.326978, gan acc 0.000000
step 80: dis loss 0.352965, dis acc 0.000000, gan loss 0.415370, gan acc 0.000000
step 81: dis loss 0.349010, dis acc 0.000000, gan loss 0.364987, gan acc 0.000000
step 82: dis loss 0.329393, dis acc 0.000000, gan loss 0.370871, gan acc 0.000000
step 83: dis loss 0.367009, dis acc 0.000000, gan loss 0.352968, gan acc 0.000000
step 84: dis loss 0.354486, dis acc 0.000000, gan loss 0.388668, gan acc 0.000000
step 85: dis loss 0.369923, dis acc 0.000000, gan loss 0.322216, gan acc 0.000000
step 86: dis loss 0.340231, dis acc 0.000000, gan loss 0.357139, gan acc 0.000000
step 87: dis loss 0.307939, dis acc 0.000000, gan loss 0.308122, gan acc 0.000000
step 88: dis loss 0.320824, dis acc 0.000000, gan loss 0.335301, gan acc 0.000000
step 89: dis loss 0.313460, dis acc 0.000000, gan loss 0.343176, gan acc 0.000000
step 90: dis loss 0.302718, dis acc 0.000000, gan loss 0.325341, gan acc 0.000000
step 91: dis loss 0.333201, dis acc 0.000000, gan loss 0.345976, gan acc 0.000000
step 92: dis loss 0.320749, dis acc 0.000000, gan loss 0.353946, gan acc 0.000000
step 93: dis loss 0.318072, dis acc 0.000000, gan loss 0.323604, gan acc 0.000000
step 94: dis loss 0.330485, dis acc 0.000000, gan loss 0.350397, gan acc 0.000000
step 95: dis loss 0.320660, dis acc 0.000000, gan loss 0.335451, gan acc 0.000000
step 96: dis loss 0.322522, dis acc 0.000000, gan loss 0.325555, gan acc 0.000000
step 97: dis loss 0.322676, dis acc 0.000000, gan loss 0.339428, gan acc 0.000000
step 98: dis loss 0.333768, dis acc 0.000000, gan loss 0.353567, gan acc 0.000000
step 99: dis loss 0.350017, dis acc 0.000000, gan loss 0.367486, gan acc 0.000000
step 100: dis loss 0.339021, dis acc 0.000000, gan loss 0.353412, gan acc 0.000000
step 101: dis loss 0.325723, dis acc 0.000000, gan loss 0.301368, gan acc 0.000000
step 102: dis loss 0.333501, dis acc 0.000000, gan loss 0.343580, gan acc 0.000000
step 103: dis loss 0.345529, dis acc 0.000000, gan loss 0.349541, gan acc 0.000000
step 104: dis loss 0.319363, dis acc 0.000000, gan loss 0.315763, gan acc 0.000000
step 105: dis loss 0.312131, dis acc 0.000000, gan loss 0.301778, gan acc 0.000000
step 106: dis loss 0.323891, dis acc 0.000000, gan loss 0.323100, gan acc 0.000000
